timestamp,equipment_id,vibration_hz
2026-06-20T18:00:00Z,DRL-002,55.91
2026-06-20T18:00:10Z,DRL-002,49.78
2026-06-20T18:00:20Z,DRL-002,56.11
2026-06-20T18:00:30Z,DRL-002,58.82
2026-06-20T18:00:40Z,DRL-002,49.25
2026-06-20T18:00:50Z,DRL-002,53.05
2026-06-20T18:01:00Z,DRL-002,59.25
2026-06-20T18:01:10Z,DRL-002,58.44
2026-06-20T18:01:20Z,DRL-002,57.92
2026-06-20T18:01:30Z,DRL-002,55.98
2026-06-20T18:01:40Z,DRL-002,59.74
2026-06-20T18:01:50Z,DRL-002,59.26
2026-06-20T18:02:00Z,DRL-002,41.28
2026-06-20T18:02:10Z,DRL-002,51.83
2026-06-20T18:02:20Z,DRL-002,42.65
2026-06-20T18:02:30Z,DRL-002,53.29
2026-06-20T18:02:40Z,DRL-002,59.48
2026-06-20T18:02:50Z,DRL-002,45.47
2026-06-20T18:03:00Z,DRL-002,50.89
2026-06-20T18:03:10Z,DRL-002,55.69
2026-06-20T18:03:20Z,DRL-002,49.28
2026-06-20T18:03:30Z,DRL-002,57.24
2026-06-20T18:03:40Z,DRL-002,48.9
2026-06-20T18:03:50Z,DRL-002,50.59
2026-06-20T18:04:00Z,DRL-002,43.83
2026-06-20T18:04:10Z,DRL-002,45.36
2026-06-20T18:04:20Z,DRL-002,50.6
2026-06-20T18:04:30Z,DRL-002,154.32
2026-06-20T18:04:40Z,DRL-002,51.11
2026-06-20T18:04:50Z,DRL-002,47.05
2026-06-20T18:05:00Z,DRL-002,48.47
2026-06-20T18:05:10Z,DRL-002,177.01
2026-06-20T18:05:20Z,DRL-002,46.11
2026-06-20T18:05:30Z,DRL-002,45.45
2026-06-20T18:05:40Z,DRL-002,55.85
2026-06-20T18:05:50Z,DRL-002,45.95
2026-06-20T18:06:00Z,DRL-002,52.03
2026-06-20T18:06:10Z,DRL-002,43.2
2026-06-20T18:06:20Z,DRL-002,56.07
2026-06-20T18:06:30Z,DRL-002,43.13
2026-06-20T18:06:40Z,DRL-002,57.38
2026-06-20T18:06:50Z,DRL-002,43.52
2026-06-20T18:07:00Z,DRL-002,47.66
2026-06-20T18:07:10Z,DRL-002,45.18
2026-06-20T18:07:20Z,DRL-002,56.92
2026-06-20T18:07:30Z,DRL-002,55.24
2026-06-20T18:07:40Z,DRL-002,40.31
2026-06-20T18:07:50Z,DRL-002,54.87
2026-06-20T18:08:00Z,DRL-002,53.83
2026-06-20T18:08:10Z,DRL-002,53.78
2026-06-20T18:08:20Z,DRL-002,43.97
2026-06-20T18:08:30Z,DRL-002,44.41
2026-06-20T18:08:40Z,DRL-002,52.39
2026-06-20T18:08:50Z,DRL-002,46.41
2026-06-20T18:09:00Z,DRL-002,48.99
2026-06-20T18:09:10Z,DRL-002,43.29
2026-06-20T18:09:20Z,DRL-002,45.95
2026-06-20T18:09:30Z,DRL-002,55.37
2026-06-20T18:09:40Z,DRL-002,176.21
2026-06-20T18:09:50Z,DRL-002,42.93
2026-06-20T18:10:00Z,DRL-002,43.38
2026-06-20T18:10:10Z,DRL-002,47.59
2026-06-20T18:10:20Z,DRL-002,50.1
2026-06-20T18:10:30Z,DRL-002,52.07
2026-06-20T18:10:40Z,DRL-002,54.09
2026-06-20T18:10:50Z,DRL-002,45.72
2026-06-20T18:11:00Z,DRL-002,50.6
2026-06-20T18:11:10Z,DRL-002,44.95
2026-06-20T18:11:20Z,DRL-002,48.1
2026-06-20T18:11:30Z,DRL-002,49.02
2026-06-20T18:11:40Z,DRL-002,45.71
2026-06-20T18:11:50Z,DRL-002,45.2
2026-06-20T18:12:00Z,DRL-002,45.04
2026-06-20T18:12:10Z,DRL-002,54.01
2026-06-20T18:12:20Z,DRL-002,49.69
2026-06-20T18:12:30Z,DRL-002,42.08
2026-06-20T18:12:40Z,DRL-002,45.69
2026-06-20T18:12:50Z,DRL-002,41.02
2026-06-20T18:13:00Z,DRL-002,44.9
2026-06-20T18:13:10Z,DRL-002,54.17
2026-06-20T18:13:20Z,DRL-002,51.12
2026-06-20T18:13:30Z,DRL-002,49.49
2026-06-20T18:13:40Z,DRL-002,51.12
2026-06-20T18:13:50Z,DRL-002,45.98
2026-06-20T18:14:00Z,DRL-002,48.47
2026-06-20T18:14:10Z,DRL-002,53.55
2026-06-20T18:14:20Z,DRL-002,40.75
2026-06-20T18:14:30Z,DRL-002,49.51
2026-06-20T18:14:40Z,DRL-002,51.75
2026-06-20T18:14:50Z,DRL-002,53.93
2026-06-20T18:15:00Z,DRL-002,57.02
2026-06-20T18:15:10Z,DRL-002,52.08
2026-06-20T18:15:20Z,DRL-002,56.04
2026-06-20T18:15:30Z,DRL-002,50.14
2026-06-20T18:15:40Z,DRL-002,57.74
2026-06-20T18:15:50Z,DRL-002,
2026-06-20T18:16:00Z,DRL-002,57.15
2026-06-20T18:16:10Z,DRL-002,50.37
2026-06-20T18:16:20Z,DRL-002,58.49
2026-06-20T18:16:30Z,DRL-002,41.97
2026-06-20T18:16:40Z,DRL-002,47.16
2026-06-20T18:16:50Z,DRL-002,54.49
2026-06-20T18:17:00Z,DRL-002,41.46
2026-06-20T18:17:10Z,DRL-002,57.57
2026-06-20T18:17:20Z,DRL-002,49.29
2026-06-20T18:17:30Z,DRL-002,58.8
2026-06-20T18:17:40Z,DRL-002,54.71
2026-06-20T18:17:50Z,DRL-002,55.38
2026-06-20T18:18:00Z,DRL-002,59.61
2026-06-20T18:18:10Z,DRL-002,59.06
2026-06-20T18:18:20Z,DRL-002,49.61
2026-06-20T18:18:30Z,DRL-002,56.43
2026-06-20T18:18:40Z,DRL-002,47.01
2026-06-20T18:18:50Z,DRL-002,55.87
2026-06-20T18:19:00Z,DRL-002,51.49
2026-06-20T18:19:10Z,DRL-002,52.2
2026-06-20T18:19:20Z,DRL-002,47.02
2026-06-20T18:19:30Z,DRL-002,41.32
2026-06-20T18:19:40Z,DRL-002,58.29
2026-06-20T18:19:50Z,DRL-002,42.58
2026-06-20T18:20:00Z,DRL-002,55.12
2026-06-20T18:20:10Z,DRL-002,47.73
2026-06-20T18:20:20Z,DRL-002,52.64
2026-06-20T18:20:30Z,DRL-002,40.25
2026-06-20T18:20:40Z,DRL-002,59.81
2026-06-20T18:20:50Z,DRL-002,45.87
2026-06-20T18:21:00Z,DRL-002,43.57
2026-06-20T18:21:10Z,DRL-002,53.07
2026-06-20T18:21:20Z,DRL-002,44.03
2026-06-20T18:21:30Z,DRL-002,46.85
2026-06-20T18:21:40Z,DRL-002,44.35
2026-06-20T18:21:50Z,DRL-002,52.25
2026-06-20T18:22:00Z,DRL-002,59.93
2026-06-20T18:22:10Z,DRL-002,45.24
2026-06-20T18:22:20Z,DRL-002,49.71
2026-06-20T18:22:30Z,DRL-002,42.48
2026-06-20T18:22:40Z,DRL-002,40.26
2026-06-20T18:22:50Z,DRL-002,52.76
2026-06-20T18:23:00Z,DRL-002,48.38
2026-06-20T18:23:10Z,DRL-002,57.13
2026-06-20T18:23:20Z,DRL-002,41.42
2026-06-20T18:23:30Z,DRL-002,46.25
2026-06-20T18:23:40Z,DRL-002,43.84
2026-06-20T18:23:50Z,DRL-002,54.91
2026-06-20T18:24:00Z,DRL-002,48.28
2026-06-20T18:24:10Z,DRL-002,59.32
2026-06-20T18:24:20Z,DRL-002,46.32
2026-06-20T18:24:30Z,DRL-002,46.25
2026-06-20T18:24:40Z,DRL-002,47.8
2026-06-20T18:24:50Z,DRL-002,52.47
2026-06-20T18:25:00Z,DRL-002,55.65
2026-06-20T18:25:10Z,DRL-002,44.5
2026-06-20T18:25:20Z,DRL-002,44.59
2026-06-20T18:25:30Z,DRL-002,42.84
2026-06-20T18:25:40Z,DRL-002,49.58
2026-06-20T18:25:50Z,DRL-002,57.27
2026-06-20T18:26:00Z,DRL-002,43.24
2026-06-20T18:26:10Z,DRL-002,46.88
2026-06-20T18:26:20Z,DRL-002,44.69
2026-06-20T18:26:30Z,DRL-002,53.7
2026-06-20T18:26:40Z,DRL-002,50.98
2026-06-20T18:26:50Z,DRL-002,58.31
2026-06-20T18:27:00Z,DRL-002,44.2
2026-06-20T18:27:10Z,DRL-002,53.52
2026-06-20T18:27:20Z,DRL-002,42.85
2026-06-20T18:27:30Z,DRL-002,44.8
2026-06-20T18:27:40Z,DRL-002,
2026-06-20T18:27:50Z,DRL-002,52.8
2026-06-20T18:28:00Z,DRL-002,50.59
2026-06-20T18:28:10Z,DRL-002,46.83
2026-06-20T18:28:20Z,DRL-002,44.92
2026-06-20T18:28:30Z,DRL-002,43.58
2026-06-20T18:28:40Z,DRL-002,55.05
2026-06-20T18:28:50Z,DRL-002,53.1
2026-06-20T18:29:00Z,DRL-002,49.35
2026-06-20T18:29:10Z,DRL-002,52.73
2026-06-20T18:29:20Z,DRL-002,41.83
2026-06-20T18:29:30Z,DRL-002,57.15
2026-06-20T18:29:40Z,DRL-002,51.29
2026-06-20T18:29:50Z,DRL-002,53.31
2026-06-20T18:30:00Z,DRL-002,44.89
2026-06-20T18:30:10Z,DRL-002,55.43
2026-06-20T18:30:20Z,DRL-002,47.93
2026-06-20T18:30:30Z,DRL-002,43.07
2026-06-20T18:30:40Z,DRL-002,41.62
2026-06-20T18:30:50Z,DRL-002,45.86
2026-06-20T18:31:00Z,DRL-002,59.72
2026-06-20T18:31:10Z,DRL-002,52.28
2026-06-20T18:31:20Z,DRL-002,41.4
2026-06-20T18:31:30Z,DRL-002,54.72
2026-06-20T18:31:40Z,DRL-002,42.5
2026-06-20T18:31:50Z,DRL-002,181.67
2026-06-20T18:32:00Z,DRL-002,48.15
2026-06-20T18:32:10Z,DRL-002,44.34
2026-06-20T18:32:20Z,DRL-002,44.2
2026-06-20T18:32:30Z,DRL-002,47.53
2026-06-20T18:32:40Z,DRL-002,172.28
2026-06-20T18:32:50Z,DRL-002,48.57
2026-06-20T18:33:00Z,DRL-002,50.37
2026-06-20T18:33:10Z,DRL-002,54.27
2026-06-20T18:33:20Z,DRL-002,41.19
2026-06-20T18:33:30Z,DRL-002,56.28
2026-06-20T18:33:40Z,DRL-002,53.61
2026-06-20T18:33:50Z,DRL-002,54.28
2026-06-20T18:34:00Z,DRL-002,45.44
2026-06-20T18:34:10Z,DRL-002,48.85
2026-06-20T18:34:20Z,DRL-002,57.72
2026-06-20T18:34:30Z,DRL-002,52.64
2026-06-20T18:34:40Z,DRL-002,40.64
2026-06-20T18:34:50Z,DRL-002,55.32
2026-06-20T18:35:00Z,DRL-002,49.26
2026-06-20T18:35:10Z,DRL-002,55.54
2026-06-20T18:35:20Z,DRL-002,49.48
2026-06-20T18:35:30Z,DRL-002,40.51
2026-06-20T18:35:40Z,DRL-002,
2026-06-20T18:35:50Z,DRL-002,43.59
2026-06-20T18:36:00Z,DRL-002,44.94
2026-06-20T18:36:10Z,DRL-002,59.46
2026-06-20T18:36:20Z,DRL-002,51.21
2026-06-20T18:36:30Z,DRL-002,45.25
2026-06-20T18:36:40Z,DRL-002,57.52
2026-06-20T18:36:50Z,DRL-002,58.61
2026-06-20T18:37:00Z,DRL-002,47.81
2026-06-20T18:37:10Z,DRL-002,50.2
2026-06-20T18:37:20Z,DRL-002,59.08
2026-06-20T18:37:30Z,DRL-002,43.34
2026-06-20T18:37:40Z,DRL-002,58.49
2026-06-20T18:37:50Z,DRL-002,
2026-06-20T18:38:00Z,DRL-002,56.65
2026-06-20T18:38:10Z,DRL-002,53.67
2026-06-20T18:38:20Z,DRL-002,50.67
2026-06-20T18:38:30Z,DRL-002,40.51
2026-06-20T18:38:40Z,DRL-002,45.99
2026-06-20T18:38:50Z,DRL-002,52.94
2026-06-20T18:39:00Z,DRL-002,47.21
2026-06-20T18:39:10Z,DRL-002,54.29
2026-06-20T18:39:20Z,DRL-002,49.05
2026-06-20T18:39:30Z,DRL-002,54.96
2026-06-20T18:39:40Z,DRL-002,44.48
2026-06-20T18:39:50Z,DRL-002,53.65
2026-06-20T18:40:00Z,DRL-002,53.8
2026-06-20T18:40:10Z,DRL-002,57.11
2026-06-20T18:40:20Z,DRL-002,40.76
2026-06-20T18:40:30Z,DRL-002,41.8
2026-06-20T18:40:40Z,DRL-002,50.93
2026-06-20T18:40:50Z,DRL-002,45.83
2026-06-20T18:41:00Z,DRL-002,51.24
